1,インド
1,インドネシア
1,カンボジア
1,北朝鮮
1,シンガポール
1,スリランカ
1,タイ
1,韓国
1,中国
1,ネパール
1,パキスタン
1,バングラデシュ
1,東ティモール
1,フィリピン
1,ブータン
1,ブルネイ
1,ベトナム
1,マレーシア
1,ミャンマー
1,モルディブ
1,モンゴル
1,ラオス
1,台湾
1,香港
1,マカオ
2,オーストラリア
2,キリバス
2,クック諸島
2,サモア
2,ソロモン諸島
2,ツバル
2,トンガ
2,ナウル
2,ニウエ
2,ニュージーランド
2,バヌアツ
2,パプアニューギニア
2,パラオ
2,フィジー
2,マーシャル
2,ミクロネシア
3,アメリカ
3,カナダ
4,アルゼンチン
4,アンティグア・バーブーダ
4,ウルグアイ
4,エクアドル
4,エルサルバドル
4,ガイアナ
4,キューバ
4,グアテマラ
4,グレナダ
4,コスタリカ
4,コロンビア
4,ジャマイカ
4,スリナム
4,セントビンセントおよびグレナディーン諸島
4,セントクリストファー・ネービス
4,セントルシア
4,チリ
4,ドミニカ国
4,ドミニカ共和国
4,トリニダード・トバゴ
4,ニカラグア
4,ハイチ
4,パナマ
4,バハマ
4,パラグアイ
4,バルバドス
4,ブラジル
4,ベネズエラ
4,ベリーズ
4,ペルー
4,ボリビア
4,ホンジュラス
4,メキシコ
5,アイスランド
5,アイルランド
5,アゼルバイジャン
5,アルバニア
5,アルメニア
5,アンドラ
5,イギリス
5,イタリア
5,ウクライナ
5,ウズベキスタン
5,エストニア
5,オーストリア
5,オランダ
5,カザフスタン
5,北マケドニア
5,キプロス
5,ギリシャ
5,キルギス
5,クロアチア
5,コソボ
5,サンマリノ
5,ジョージア
5,スイス
5,スウェーデン
5,スペイン
5,スロバキア
5,スロベニア
5,セルビア
5,タジキスタン
5,チェコ
5,デンマーク
5,ドイツ
5,トルクメニスタン
5,ノルウェー
5,バチカン
5,ハンガリー
5,フィンランド
5,フランス
5,ブルガリア
5,ベラルーシ
5,ベルギー
5,ポーランド
5,ボスニア・ヘルツェゴビナ
5,ポルトガル
5,マルタ
5,モナコ
5,モルドバ
5,モンテネグロ
5,ラトビア
5,リヒテンシュタイン
5,リトアニア
5,ルーマニア
5,ルクセンブルク
5,ロシア
6,アフガニスタン
6,アラブ首長国連邦
6,イエメン
6,イスラエル
6,イラク
6,イラン
6,オマーン
6,カタール
6,クウェート
6,サウジアラビア
6,シリア
6,トルコ
6,バーレーン
6,ヨルダン
6,レバノン
7,アルジェリア
7,アンゴラ
7,ウガンダ
7,エジプト
7,エスワティニ
7,エチオピア
7,エリトリア
7,ガーナ
7,カーボベルデ
7,ガボン
7,カメルーン
7,ガンビア
7,ギニア
7,ギニアビサウ
7,ケニア
7,コートジボワール
7,コモロ
7,コンゴ共和国
7,コンゴ民主共和国
7,サントメ・プリンシペ
7,ザンビア
7,シエラレオネ
7,ジブチ
7,ジンバブエ
7,スーダン
7,セーシェル
7,赤道ギニア
7,セネガル
7,ソマリア
7,タンザニア
7,チャド
7,中央アフリカ
7,チュニジア
7,トーゴ
7,ナイジェリア
7,ナミビア
7,ニジェール
7,ブルキナファソ
7,ブルンジ
7,ベナン
7,ボツワナ
7,マダガスカル
7,マラウイ
7,マリ
7,南アフリカ
7,南スーダン
7,モザンビーク
7,モーリシャス
7,モーリタニア
7,モロッコ
7,リビア
7,リベリア
7,ルワンダ
7,レソト

